step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="154",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.047162757330281,4.936413554181844,4.900308625603498,0.4435216165683898,0.0030470525355087014,0.007698552952082206,0.019704276702173413
1,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.049275304281834,4.9292499636378775,4.897201726898464,0.4441789678342298,0.0030724045171652004,0.008040741556679873,0.020040443834913105
2,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.05166779758704,4.92428188589322,4.880547986590777,0.4439254292298072,0.0031192380948275133,0.008138859208178178,0.020989970961955765
3,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.05166779758704,4.9223777541579015,4.869877573188032,0.4432748826671043,0.0031192380948275133,0.008209450729039053,0.021235398951967195
4,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.053911805162533,4.91891559783857,4.861169783278594,0.4447269283411561,0.003142676174968676,0.008259697521962732,0.021434399911250675
5,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.053911805162533,4.91891559783857,4.849333840505302,0.44501569323083884,0.003142676174968676,0.008259697521962732,0.021553958639325025
6,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.053911805162533,4.91891559783857,4.849333840505302,0.44574722798191724,0.003142676174968676,0.008259697521962732,0.021553958639325025
7,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.053911805162533,4.91891559783857,4.849333840505302,0.44634623020823755,0.003142676174968676,0.008259697521962732,0.021553958639325025
8,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.053911805162533,4.91891559783857,4.849333840505302,0.4468318842298111,0.003142676174968676,0.008259697521962732,0.021553958639325025
9,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.053911805162533,4.916818879700844,4.849333840505302,0.4470072741739085,0.003142676174968676,0.008354901716523276,0.021553958639325025
10,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.055175321210555,4.916818879700844,4.847039147935491,0.44752833870814146,0.003164490120524473,0.008354901716523276,0.021383789390900784
11,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.055175321210555,4.915070975902254,4.847039147935491,0.44752996424694197,0.003164490120524473,0.008366578125462964,0.021383789390900784
12,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.847039147935491,0.4479198081892962,0.0031790060908914093,0.008366578125462964,0.021383789390900784
13,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.844759827695526,0.4478728334133782,0.0031790060908914093,0.008366578125462964,0.02120083063370988
14,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.844759827695526,0.44795064463066275,0.0031790060908914093,0.008366578125462964,0.02120083063370988
15,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.844759827695526,0.4479965793767445,0.0031790060908914093,0.008366578125462964,0.02120083063370988
16,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.842512972474283,0.44755767958541975,0.0031790060908914093,0.008366578125462964,0.021003013730469564
17,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.840035924929798,0.44737515452524496,0.0031790060908914093,0.008366578125462964,0.020830248710054053
18,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.840035924929798,0.447325896286374,0.0031790060908914093,0.008366578125462964,0.020830248710054053
19,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.840035924929798,0.4472645725525355,0.0031790060908914093,0.008366578125462964,0.020830248710054053
20,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.840035924929798,0.4471938940757959,0.0031790060908914093,0.008366578125462964,0.020830248710054053
