step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",citizen_truth_seeking_mean="0",citizen_truth_seeking_std="2.5",citizen_confirmation_bias_min="3",citizen_confirmation_bias_max="8",citizen_critical_thinking_min="3",citizen_critical_thinking_max="8",citizen_social_conformity_min="3",citizen_social_conformity_max="8",citizen_initial_trust_in_corporate="5",citizen_initial_trust_in_influencers="5",citizen_initial_trust_in_government="5",media_corporate_bias_range="[-3; 3]",media_influencer_bias_range="[-4; 4]",media_government_bias="1",media_truth_commitment_corporate="6",media_truth_commitment_influencer="4",media_truth_commitment_government="5",media_corporate_publication_rate="1.0",media_corporate_influence_reach="0.7",media_influencer_publication_rate="1.0",media_influencer_influence_reach="0.5",media_government_publication_rate="1.0",media_government_influence_reach="0.6",network_small_world_k="4",network_small_world_p="0.1",network_scale_free_m="3",network_random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,current_step,max_trust_corporate,max_trust_government,min_trust_corporate,min_trust_government,trust_govt_25pct,trust_govt_75pct,trust_var_corporate,trust_var_government,trust_var_influencer,truth_assessment_var
1,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.509995830552751,5.068324329397427,4.438099771828524,0.5075041812414098,1.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.191365674218122,0.3524142653476663,0.011721945644435294,0.39871884471320185,0.053180683165084855
2,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.529051986690247,5.068324329397427,4.438099771828524,0.5073120305267615,2.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.191365674218122,0.35078033588501967,0.011721945644435294,0.39871884471320185,0.044989838894516465
3,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.072743888350456,4.438099771828524,0.5079864895129913,3.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.199276348360613,0.35389712641436427,0.012088917717157392,0.39871884471320185,0.03854664549062683
4,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.084457555669201,4.410042996668565,0.507182049148943,4.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.210734401508052,0.35389712641436427,0.01304367794412856,0.40611319536131046,0.03321335586623176
5,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.084457555669201,4.410042996668565,0.5074559851147685,5.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.210734401508052,0.35389712641436427,0.01304367794412856,0.40611319536131046,0.029554202099963605
6,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.387742181414223,0.506945445632459,6.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.40428560593501606,0.02629636554098618
7,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5068818546994964,7.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.40622826119667776,0.02388461905267151
8,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5072513869242333,8.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.40622826119667776,0.021989827175099685
9,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5076193206894498,9.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.40622826119667776,0.020420767352626858
10,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5079833701520001,10.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.40622826119667776,0.01910830025640897
11,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.352622038252034,0.5079315917527399,11.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.4018161209251371,0.018010465763174912
12,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5077040320398066,12.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.016806262564221516
13,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5080784692045196,13.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.01600375633495751
14,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5084386713896811,14.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.015307877448813947
15,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5087849401011816,15.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.014698890421687028
16,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5091176371382461,16.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.014161211850785891
17,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5094371660711341,17.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.013682457233503934
18,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5097439578548212,18.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013137535365824776,0.3999776615812573,0.01325272418383526
19,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.341164486568878,0.5100601491744183,19.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013184472613174306,0.3999776615812573,0.012863431442727058
20,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.329052932947573,0.5100701037388132,20.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013184472613174306,0.3985409016652281,0.01250795694255101
21,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.31653419054726,0.5100779226022665,21.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013184472613174306,0.39725724688913217,0.012176116235848024
22,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.306382829284689,0.509956329939172,22.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.2155247199017865,0.35389712641436427,0.013184472613174306,0.3935829936172315,0.01181232605329765
23,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5102606940104365,23.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.219180557961204,0.35389712641436427,0.013282488552243172,0.3935829936172315,0.011533585189130877
24,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5104961777102227,24.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.219180557961204,0.35389712641436427,0.013282488552243172,0.3935829936172315,0.011277673839804114
25,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5107225087008087,25.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.219180557961204,0.35389712641436427,0.013282488552243172,0.3935829936172315,0.011038110614899961
26,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5109400425994888,26.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.219180557961204,0.35389712641436427,0.013282488552243172,0.3935829936172315,0.010812802709712733
27,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5111491261359921,27.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.219180557961204,0.35389712641436427,0.013282488552243172,0.3935829936172315,0.010600010548466505
28,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5113500965534713,28.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.219180557961204,0.35389712641436427,0.013282488552243172,0.3935829936172315,0.010398280866999352
29,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.306382829284689,0.5118252036275076,29.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.3935829936172315,0.010108940322122832
30,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5116363015612669,30.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.39153075260577164,0.00988354514925598
31,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5117720908368567,31.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.39153075260577164,0.009702927652087667
32,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5119052288649131,32.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.39153075260577164,0.009530578902801574
33,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5120356034571135,33.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.39153075260577164,0.009365620657309493
34,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5121631251857196,34.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.39153075260577164,0.009207325717566304
35,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5122877258262636,35.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.223523868758546,0.35389712641436427,0.013522850745223336,0.39153075260577164,0.009055085156166763
36,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5119228388517097,36.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008847287585260441
37,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5120884651601479,37.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008710446799421748
38,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5122437289000316,38.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008578018748693843
39,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.51238982192615,39.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008449595806295375
40,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5125277507962666,40.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008324862635110751
41,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5126583685380238,41.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008203568677987681
