step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="this1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.509995830552751,5.068324329397427,4.438099771828524,0.5075041812414098,0.3524142653476663,0.011721945644435294,0.39871884471320185
1,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.529051986690247,5.068324329397427,4.438099771828524,0.5073120305267615,0.35078033588501967,0.011721945644435294,0.39871884471320185
2,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.072743888350456,4.438099771828524,0.5079864895129913,0.35389712641436427,0.012088917717157392,0.39871884471320185
3,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.084457555669201,4.410042996668565,0.507182049148943,0.35389712641436427,0.01304367794412856,0.40611319536131046
4,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.084457555669201,4.410042996668565,0.5074559851147685,0.35389712641436427,0.01304367794412856,0.40611319536131046
5,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.387742181414223,0.506945445632459,0.35389712641436427,0.013137535365824776,0.40428560593501606
6,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5068818546994964,0.35389712641436427,0.013137535365824776,0.40622826119667776
7,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5072513869242333,0.35389712641436427,0.013137535365824776,0.40622826119667776
8,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5076193206894498,0.35389712641436427,0.013137535365824776,0.40622826119667776
9,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.3739505347427095,0.5079833701520001,0.35389712641436427,0.013137535365824776,0.40622826119667776
10,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.352622038252034,0.5079315917527399,0.35389712641436427,0.013137535365824776,0.4018161209251371
11,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5077040320398066,0.35389712641436427,0.013137535365824776,0.3999776615812573
12,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5080784692045196,0.35389712641436427,0.013137535365824776,0.3999776615812573
13,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5084386713896811,0.35389712641436427,0.013137535365824776,0.3999776615812573
14,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5087849401011816,0.35389712641436427,0.013137535365824776,0.3999776615812573
15,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5091176371382461,0.35389712641436427,0.013137535365824776,0.3999776615812573
16,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5094371660711341,0.35389712641436427,0.013137535365824776,0.3999776615812573
17,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5097439578548212,0.35389712641436427,0.013137535365824776,0.3999776615812573
18,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.341164486568878,0.5100601491744183,0.35389712641436427,0.013184472613174306,0.3999776615812573
19,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.329052932947573,0.5100701037388132,0.35389712641436427,0.013184472613174306,0.3985409016652281
20,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.31653419054726,0.5100779226022665,0.35389712641436427,0.013184472613174306,0.39725724688913217
21,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.306382829284689,0.509956329939172,0.35389712641436427,0.013184472613174306,0.3935829936172315
22,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5102606940104365,0.35389712641436427,0.013282488552243172,0.3935829936172315
