step,run_id,timestamp,name,num_citizens,num_corporate_media,num_influencers,num_government,network_type,steps,simulationName,truth_seeking_mean,truth_seeking_std,confirmation_bias_min,confirmation_bias_max,critical_thinking_min,critical_thinking_max,social_conformity_min,social_conformity_max,initial_trust_in_corporate,initial_trust_in_influencers,initial_trust_in_government,corporate_bias_min,corporate_bias_max,truth_commitment_corporate,corporate_publication_rate,corporate_influence_reach,influencer_bias_min,influencer_bias_max,truth_commitment_influencer,influencer_publication_rate,influencer_influence_reach,government_bias,truth_commitment_government,government_publication_rate,government_influence_reach,small_world_k,small_world_p,scale_free_m,random_p,avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.2618285488604535,4.499198649144163,3.801427857891208,0.4538367751617852,0.7188886603766262,0.6607338011000745,1.5607683889831747
1,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.227253443363408,4.446581782669584,3.6274054573741044,0.4478426296354283,0.7270651924982046,0.6994191502670135,1.5527374509168943
2,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.210669519672427,4.40796481706233,3.573040756330929,0.4466865307517147,0.7286624786165846,0.7301195338542058,1.5496278916931754
3,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.210669519672427,4.40796481706233,3.436295465442997,0.4440134137330839,0.7286624786165846,0.7301195338542058,1.4592727621368697
4,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.210669519672427,4.40796481706233,3.383935955125809,0.44313949608775494,0.7286624786165846,0.7301195338542058,1.430112587694509
5,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.210669519672427,4.387045935660567,3.362482755974238,0.442287511450518,0.7286624786165846,0.7486724666101158,1.4063368357316093
6,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.387045935660567,3.311319803818068,0.44178785876717114,0.7336818095116322,0.7486724666101158,1.3693616042495458
7,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.387045935660567,3.311319803818068,0.4419778140875292,0.7336818095116322,0.7486724666101158,1.3693616042495458
8,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.387045935660567,3.311319803818068,0.44214828140602414,0.7336818095116322,0.7486724666101158,1.3693616042495458
9,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.366598997979832,3.311319803818068,0.44186223640165423,0.7336818095116322,0.7649960482921808,1.3693616042495458
