step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="workit",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005171996712434,4.821044948188602,4.8958325887279734,0.4894087681884695,4.697936849275196e-05,0.043938696626989966,0.02391460958460196
1,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005171996712434,4.817374804187051,4.883023394419178,0.48470134117098046,4.697936849275196e-05,0.04395864074930412,0.02521330488958686
2,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005506002635882,4.817374804187051,4.876097812380397,0.481577031299507,4.899400036589413e-05,0.04395864074930412,0.025974272645372123
3,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.80893029871459,4.876097812380397,0.4793024149671408,4.966548132781543e-05,0.044392094406181595,0.025974272645372123
4,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.80893029871459,4.876097812380397,0.47756488220461657,4.966548132781543e-05,0.044392094406181595,0.025974272645372123
5,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.8049996941987665,4.865895638220036,0.476284040115261,4.966548132781543e-05,0.04441957107888399,0.0268492782416289
6,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.8049996941987665,4.865895638220036,0.4750544080836977,4.966548132781543e-05,0.04441957107888399,0.0268492782416289
7,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.80107224107429,4.862377849659247,0.4732143529826016,4.966548132781543e-05,0.044414925874749274,0.027130885461469672
8,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.80107224107429,4.851018998457169,0.47172697591601265,4.966548132781543e-05,0.044414925874749274,0.028200704974724024
9,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.80107224107429,4.851018998457169,0.47094893547399397,4.966548132781543e-05,0.044414925874749274,0.028200704974724024
