step,run_id,timestamp,name,num_citizens="200",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="large-network-3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.011471465266669,5.130660408300916,4.926934754854809,0.5243540297622541,0.00016686015764255394,0.020761513906718355,0.010464774576391984
1,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012177751512077,5.135753701510546,4.91164097580495,0.5233140177847825,0.00017027806809433437,0.020711626316429182,0.011389540755528182
2,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012177751512077,5.135753701510546,4.903908939321716,0.5223976558048891,0.00017027806809433437,0.020711626316429182,0.011693226672931344
3,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012177751512077,5.136858317334688,4.89495079274853,0.5217887996827237,0.00017027806809433437,0.02065452999035045,0.011920899836850147
4,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012177751512077,5.139822430822154,4.893782497109072,0.521772034345046,0.00017027806809433437,0.020725216873845743,0.011947060800863355
5,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.01230216040761,5.142720522920179,4.893782497109072,0.5216502282151025,0.00017032806394720018,0.02074912942627674,0.011947060800863355
6,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012598489728158,5.142720522920179,4.891881527877054,0.5214949869659439,0.00017174593597264406,0.02074912942627674,0.011900991924710195
7,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012856384925522,5.142720522920179,4.891881527877054,0.5217529204400456,0.0001719392027762193,0.02074912942627674,0.011900991924710195
8,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012856384925522,5.144345519964702,4.889802377822174,0.5216067901414758,0.0001719392027762193,0.020810771033947673,0.011880682707827711
9,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.012856384925522,5.144345519964702,4.889802377822174,0.5215902322301731,0.0001719392027762193,0.020810771033947673,0.011880682707827711
