step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-low-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.05",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.52290055152225,4.348703295399145,4.98477789368847,0.4674017993332328,0.47803676299964337,1.3030320965088145,0.0003899754946460023
1,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.560353427065348,4.321897791854486,4.983103616077696,0.46487596363491657,0.4844143775758414,1.3392503912691984,0.0004071841891309452
2,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.560353427065348,4.26676936613085,4.982706478482738,0.4637983543073373,0.4844143775758414,1.413732912945282,0.00040937791924571654
3,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.571063854509124,4.26676936613085,4.9805938169200825,0.4620782919930884,0.48376774047574267,1.413732912945282,0.00042342430830544535
4,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.214108227868383,4.980263936832095,0.46125447294273736,0.48905135739644706,1.4731663018943977,0.00042139414791422314
5,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.181870682873974,4.979925977199918,0.4603560328070783,0.48905135739644706,1.5253825305841306,0.000419361617201685
6,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.1597746988474045,4.979925977199918,0.4596429373029644,0.48905135739644706,1.5375628044385017,0.000419361617201685
7,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.1597746988474045,4.97904089738006,0.45952362904272126,0.48905135739644706,1.5375628044385017,0.00042234287892082986
8,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.1597746988474045,4.97904089738006,0.4593318788439445,0.48905135739644706,1.5375628044385017,0.00042234287892082986
9,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.13016841774972,4.977859564041854,0.458522395382573,0.48905135739644706,1.5745875676989545,0.00041812804289988756
10,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.13016841774972,4.977859564041854,0.4584249348294483,0.48905135739644706,1.5745875676989545,0.00041812804289988756
11,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.13016841774972,4.977492526012007,0.4586721647166111,0.48905135739644706,1.5745875676989545,0.0004152122535318506
12,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.13016841774972,4.9770418402604735,0.45865557749873287,0.48905135739644706,1.5745875676989545,0.00041503330488995067
13,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.100230951675175,4.9770418402604735,0.4579071198903729,0.48905135739644706,1.6112353963520767,0.00041503330488995067
14,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.100230951675175,4.976724030161987,0.45778945835770174,0.48905135739644706,1.6112353963520767,0.0004104399574854857
15,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.100230951675175,4.976293295263191,0.4578307891042788,0.48905135739644706,1.6112353963520767,0.0004087561352113976
16,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.100230951675175,4.975837568002064,0.45779278323595646,0.48905135739644706,1.6112353963520767,0.00040770959828820904
17,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.100230951675175,4.975837568002064,0.4577881305548885,0.48905135739644706,1.6112353963520767,0.00040770959828820904
18,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.4572147187926979,0.48905135739644706,1.6249217206502424,0.00040770959828820904
19,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.45723113636365054,0.48905135739644706,1.6249217206502424,0.00040770959828820904
20,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.45724831302272295,0.48905135739644706,1.6249217206502424,0.00040770959828820904
21,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.4572660722207522,0.48905135739644706,1.6249217206502424,0.00040770959828820904
22,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.4572842830257046,0.48905135739644706,1.6249217206502424,0.00040770959828820904
23,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.45730284723531994,0.48905135739644706,1.6249217206502424,0.00040770959828820904
24,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.076281422628405,4.975837568002064,0.45732168989170396,0.48905135739644706,1.6249217206502424,0.00040770959828820904
25,run_1746382057,2025-05-04 14:07:37,random-low-s2,"100","3","5","1","random","75","random-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.586140420136513,4.052680282607817,4.975837568002064,0.4567462306060651,0.48905135739644706,1.6364644648987792,0.00040770959828820904
