step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-med-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.1018947566221415,4.250573815023825,4.967809375634501,0.48152067710434965,0.01258635588012028,1.8343978450795635,0.002256126483921066
1,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.106760869005205,4.217777085284046,4.95838661812841,0.4830856788478304,0.01276786299028032,1.891727311663197,0.0024593333199986224
2,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.106760869005205,4.1865323620579105,4.954704356868365,0.4836453131754181,0.01276786299028032,1.9394936749386154,0.002483545949746363
3,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.1865323620579105,4.952228908313757,0.48476294701205946,0.012772467348891791,1.9394936749386154,0.002559558424127541
4,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.1865323620579105,4.951033156289527,0.4864151468780403,0.012772467348891791,1.9394936749386154,0.0025868661324021723
5,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.1865323620579105,4.9489946946862196,0.48760624966147476,0.012772467348891791,1.9394936749386154,0.002593712424813492
6,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.122838313110278,4.9489946946862196,0.4874697403471721,0.012772467348891791,2.041716129383444,0.002593712424813492
7,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.122838313110278,4.947755034962828,0.4885707244857383,0.012772467348891791,2.041716129383444,0.002619392846210057
8,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.122838313110278,4.946765882247596,0.48926646187919176,0.012772467348891791,2.041716129383444,0.00261290023447368
9,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.946765882247596,0.489356354236619,0.012772467348891791,2.0680373673524692,0.00261290023447368
10,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.946765882247596,0.4901946882186732,0.012772467348891791,2.0680373673524692,0.00261290023447368
11,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.946765882247596,0.49094895622420526,0.012772467348891791,2.0680373673524692,0.00261290023447368
12,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.946765882247596,0.49162806532152487,0.012772467348891791,2.0680373673524692,0.00261290023447368
13,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.945602180482538,0.491972594650428,0.012772467348891791,2.0680373673524692,0.002623068938896005
14,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0382566377704325,4.945602180482538,0.49098012343851394,0.012772467348891791,2.1284641951136063,0.002623068938896005
15,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.49048639814478645,0.012772467348891791,2.193109340881679,0.002623068938896005
16,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.49081874634826933,0.012772467348891791,2.193109340881679,0.002623068938896005
17,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.4911241357830001,0.012772467348891791,2.193109340881679,0.002623068938896005
18,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.4914043958454847,0.012772467348891791,2.193109340881679,0.002623068938896005
