step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="5",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.108716493033392,4.062877333755652,4.101214487351245,0.4570377617340359,0.018259099660139676,2.0906916848979957,0.6346129971544624
1,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.1113165887933825,3.9088653074755246,4.048787189630118,0.4522896510368429,0.018363042373136275,2.254633846633189,0.6293985767019599
2,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.114447542332701,3.9088653074755246,4.0156469159819075,0.4524202206903054,0.018636472374272992,2.254633846633189,0.6202861184980941
3,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.9088653074755246,4.0156469159819075,0.4522125001501252,0.018778401844352956,2.254633846633189,0.6202861184980941
4,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.9088653074755246,4.0156469159819075,0.45196053048997065,0.018778401844352956,2.254633846633189,0.6202861184980941
5,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8512999335114895,3.9976997706671824,0.4500239562303709,0.018778401844352956,2.2931173552772797,0.6168413652881912
6,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8512999335114895,3.9976997706671824,0.44978132195113246,0.018778401844352956,2.2931173552772797,0.6168413652881912
7,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.4486850002997288,0.018778401844352956,2.338806649941528,0.6168413652881912
8,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.44843055941290577,0.018778401844352956,2.338806649941528,0.6168413652881912
9,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.4481494036654972,0.018778401844352956,2.338806649941528,0.6168413652881912
10,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.44785145122505826,0.018778401844352956,2.338806649941528,0.6168413652881912
