step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-med-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.025609399756806,4.08340232076684,4.862329706592229,0.468418534991452,0.0009011284702205524,2.110754550614669,0.03075724003577337
1,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.026309321782971,4.053590820545597,4.855245862417155,0.4612400396296443,0.0009137784977156864,2.1440880757788494,0.03130541406905519
2,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.026309321782971,4.053590820545597,4.85134244998146,0.456431437322148,0.0009137784977156864,2.1440880757788494,0.03168377010320746
3,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.053590820545597,4.847671188473286,0.45339343020551354,0.0009347058401856309,2.1440880757788494,0.03192658656572123
4,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.053590820545597,4.834245047417822,0.4489251560602987,0.0009347058401856309,2.1440880757788494,0.03229191037499804
5,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.0165304494347485,4.830547396287684,0.4447495634899147,0.0009347058401856309,2.209913164532767,0.03241969216365626
6,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.0165304494347485,4.830547396287684,0.4419960023094483,0.0009347058401856309,2.209913164532767,0.03241969216365626
7,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.0165304494347485,4.830547396287684,0.43952934511285446,0.0009347058401856309,2.209913164532767,0.03241969216365626
8,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.0165304494347485,4.830547396287684,0.4373141417064636,0.0009347058401856309,2.209913164532767,0.03241969216365626
9,run_1746381811,2025-05-04 14:03:31,scale-free-med-s2,"100","3","5","1","scale_free","75","scale-free-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029945757908847,4.0165304494347485,4.827055971278349,0.4347485277120724,0.0009347058401856309,2.209913164532767,0.03244324485764495
