step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="8",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.0018281337060575,4.378236259901602,4.925771897090364,0.44827452945992635,5.5950843926126955e-06,1.6006807274162242,0.008216784527076595
1,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.00205033521849,4.345214027648556,4.924044820379637,0.44562203758103086,5.740655909733459e-06,1.6675729886265578,0.00825568587395198
2,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002184296621088,4.277428165231772,4.9092444973086735,0.44200014062002346,5.785874173065103e-06,1.8040384692530937,0.00826755434308006
3,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.277428165231772,4.9020004817511715,0.44080961799961377,5.758005625425174e-06,1.8040384692530937,0.00824564157559921
4,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.277428165231772,4.897786415664317,0.44008959850501006,5.758005625425174e-06,1.8040384692530937,0.008290088618508279
5,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.277428165231772,4.895648624857305,0.43914340918321676,5.758005625425174e-06,1.8040384692530937,0.008305510900539244
6,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.277428165231772,4.893574903043534,0.43839167799858136,5.758005625425174e-06,1.8040384692530937,0.008298451348608418
7,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.2478356948567715,4.892170918547395,0.4364242610667162,5.758005625425174e-06,1.8479688140113486,0.008194759050429011
8,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.2478356948567715,4.886490725808886,0.43545506501257847,5.758005625425174e-06,1.8479688140113486,0.008022250295916798
9,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.2478356948567715,4.884628721597208,0.43468787371640244,5.758005625425174e-06,1.8479688140113486,0.007942779711446375
