step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-low-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="2",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.130734388159526,3.9881047535042438,4.659219766543334,0.45140445862888945,0.035678974306753,2.054107589390618,0.29117719544629983
1,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.144593376323612,3.9881047535042438,4.631700181913207,0.4493008126783284,0.03669798218520782,2.054107589390618,0.309546916141312
2,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.151849714741411,3.9881047535042438,4.621749051095906,0.4505331296641571,0.0372141938491326,2.054107589390618,0.3120203922515332
3,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.151849714741411,3.9881047535042438,4.596690409990749,0.4501051384996762,0.0372141938491326,2.054107589390618,0.32385815039009425
4,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.160031078449233,3.920572131291527,4.596690409990749,0.44817718531144024,0.038009369458594004,2.1430422847819637,0.32385815039009425
5,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.160031078449233,3.920572131291527,4.596690409990749,0.44844277505003055,0.038009369458594004,2.1430422847819637,0.32385815039009425
6,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.920572131291527,4.575254119159596,0.44830100673625994,0.038670267820161655,2.1430422847819637,0.3292358277707481
7,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.920572131291527,4.575254119159596,0.44856012634001163,0.038670267820161655,2.1430422847819637,0.3292358277707481
8,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.920572131291527,4.56143544883621,0.4485784520724121,0.038670267820161655,2.1430422847819637,0.3364015904747833
9,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.892461171848636,4.539531022188919,0.4475522041857068,0.038670267820161655,2.160587156743566,0.34093500728410153
