step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-high-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.182743829719378,8.889115563145467,4.610540681791926,0.5049820081212761,0.04227464606604576,0.967974351619861,0.4679812323974229
1,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.190049525015,8.909115563145466,4.488046908203143,0.5031596111083109,0.042260105200249705,0.9720097290940426,0.5506595499992745
2,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.193839445078998,8.9673666121725,4.451122630006957,0.5035190861382373,0.04224154609929293,0.9760127529599578,0.5796671452634169
3,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.201467214119252,8.9673666121725,4.401226681042536,0.5035435369811776,0.04224569997108035,0.9760127529599578,0.6057466588513981
4,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.2062244591674816,8.9673666121725,4.37090041732533,0.5028518378983905,0.04256934882202226,0.9760127529599578,0.6152552847655001
5,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.2062244591674816,8.9673666121725,4.325757389652607,0.5022062219332618,0.04256934882202226,0.9760127529599578,0.6250065580172819
6,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.2062244591674816,8.9673666121725,4.325757389652607,0.5019144511792677,0.04256934882202226,0.9760127529599578,0.6250065580172819
7,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.2062244591674816,8.9673666121725,4.325757389652607,0.5016231591475412,0.04256934882202226,0.9760127529599578,0.6250065580172819
8,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.2062244591674816,9.027366612172498,4.307210231292924,0.5024485161826333,0.04256934882202226,0.9763287594992576,0.6340517003220615
9,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.2062244591674816,9.0473666121725,4.307210231292924,0.502276642677973,0.04256934882202226,0.9748340950123578,0.6340517003220615
