step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-low-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.609016445839026,7.0516583804363435,4.410502101288453,0.4809732201769764,0.4502903144843596,1.7987018900399931,0.47494756746299804
1,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.028399949294128,4.280030724273881,0.48015058933832067,0.45038404669389126,1.8081425208246762,0.47812304029364017
2,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.253943504352088,0.47973936966751185,0.45038404669389126,1.8129522018835067,0.47437111583379504
3,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.17911919813246,0.47802017937662755,0.45038404669389126,1.8129522018835067,0.45140025286363183
4,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.17911919813246,0.4785049495238172,0.45038404669389126,1.8129522018835067,0.45140025286363183
5,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.17911919813246,0.47892514856790913,0.45038404669389126,1.8129522018835067,0.45140025286363183
6,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.165305466740029,0.47894433266264647,0.45038404669389126,1.8129522018835067,0.44761249738246933
7,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.152559334631545,0.47905424648035544,0.45038404669389126,1.8129522018835067,0.4424181682891134
8,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.152559334631545,0.4793429092341036,0.45038404669389126,1.8129522018835067,0.4424181682891134
9,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.646486401080225,7.006548365002092,4.1413649503725045,0.4792717818643023,0.45038404669389126,1.8129522018835067,0.4358511250543367
