step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-med-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.045198332624609,7.843659365233284,4.483471227527537,0.48790167160341286,0.0024774933725502683,0.037953148619180116,0.5862643897687257
1,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.048753500017838,7.83333072191413,4.417854689429774,0.4848976123344868,0.002468183592369078,0.03819922341017578,0.6237524653278242
2,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.048753500017838,7.826252493427797,4.387136074725143,0.48375764227931983,0.002468183592369078,0.038340632180672886,0.6354203970549599
3,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0498315093458475,7.826252493427797,4.356004072277208,0.4823173548404362,0.002478118443800729,0.038340632180672886,0.644767851900932
4,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.050674289731588,7.826252493427797,4.294054582251098,0.48132773862095923,0.0024644420055439033,0.038340632180672886,0.65923171966524
5,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.050674289731588,7.826252493427797,4.294054582251098,0.4811721818257661,0.0024644420055439033,0.038340632180672886,0.65923171966524
6,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.826252493427797,4.294054582251098,0.4808175405110632,0.0024648608014583586,0.038340632180672886,0.65923171966524
7,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.826252493427797,4.294054582251098,0.48064901507664437,0.0024648608014583586,0.038340632180672886,0.65923171966524
8,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.822038234666736,4.294054582251098,0.4801836916313866,0.0024648608014583586,0.038634435990716434,0.65923171966524
9,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.818862144257276,4.266614125051416,0.47924870445817647,0.0024648608014583586,0.038502658157083265,0.6575557074447146
10,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.818862144257276,4.232293939798792,0.47855373388168465,0.0024648608014583586,0.038502658157083265,0.6651591767967353
11,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.818862144257276,4.232293939798792,0.4783935520753483,0.0024648608014583586,0.038502658157083265,0.6651591767967353
12,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.811104927213036,4.232293939798792,0.47777809672073035,0.0024648608014583586,0.038642794978882955,0.6651591767967353
13,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.807853418730568,4.232293939798792,0.4773898378575923,0.0024648608014583586,0.038461065549701176,0.6651591767967353
14,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.807853418730568,4.232293939798792,0.47721542071909134,0.0024648608014583586,0.038461065549701176,0.6651591767967353
