step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-high-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.1147540434740435,1.710973142293251,4.4720801629511175,0.47183897767378696,0.0179359991768109,0.9991681968066268,0.5288640201451179
1,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118117152476308,1.747935065470015,4.395668872623131,0.4702859015116264,0.018283878177453413,1.0135612950376716,0.5621686086641792
2,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.123934278043282,1.747935065470015,4.382019935554508,0.46915176109485374,0.018577788599208642,1.0135612950376716,0.5641147084390461
3,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.1319785176969015,1.747935065470015,4.337073789806019,0.46636162974305984,0.018712027438722603,1.0135612950376716,0.5751568507839169
4,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.1319785176969015,1.747935065470015,4.320750945698035,0.46561517238072503,0.018712027438722603,1.0135612950376716,0.5798922571533134
5,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.1319785176969015,1.747935065470015,4.260925593241223,0.46481054950236145,0.018712027438722603,1.0135612950376716,0.5854115922563885
6,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.134482750328345,1.747935065470015,4.248633713284786,0.4641410828127583,0.018671864543556554,1.0135612950376716,0.582200305456364
7,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.134482750328345,1.7675352775492832,4.2358000250292145,0.46394762323415395,0.018671864543556554,1.0222745862698819,0.5792203559473431
8,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.134482750328345,1.7675352775492832,4.2358000250292145,0.46366257685924894,0.018671864543556554,1.0222745862698819,0.5792203559473431
9,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.134482750328345,1.7675352775492832,4.204675533603375,0.46298871658765245,0.018671864543556554,1.0222745862698819,0.5807253629647269
10,run_1746380312,2025-05-04 13:38:32,low-trust-high-accuracy-s3,"100","3","5","1","small_world","75","low-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.134482750328345,1.7675352775492832,4.204675533603375,0.46275284090757124,0.018671864543556554,1.0222745862698819,0.5807253629647269
