step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.525862779319486,1.0599430774112841,4.91289950654928,0.5195992390417405,0.5518091996697474,0.009001905680413922,0.009940731550418856
1,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.5416360873166015,1.0618400752101054,4.907499346719057,0.5173247866715932,0.5598509357769099,0.00913074337283082,0.009953746306642775
2,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.554250951037188,1.0618400752101054,4.905747825409381,0.5153947963994433,0.5619399488038165,0.00913074337283082,0.0099334274388085
3,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.57260454551064,1.0618400752101054,4.901826434228199,0.512590329030704,0.5749435429995906,0.00913074337283082,0.009948076321484867
4,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.57260454551064,1.0618400752101054,4.897785968570463,0.5107181490837756,0.5749435429995906,0.00913074337283082,0.009961088929836893
5,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.590071592024611,1.0618400752101054,4.891085752088248,0.5094400504425927,0.5851447962166998,0.00913074337283082,0.009687139862235097
6,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.590071592024611,1.0618400752101054,4.891085752088248,0.5082082157479854,0.5851447962166998,0.00913074337283082,0.009687139862235097
7,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.590071592024611,1.0618400752101054,4.891085752088248,0.5070577822486425,0.5851447962166998,0.00913074337283082,0.009687139862235097
8,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.590071592024611,1.0618400752101054,4.891085752088248,0.5059800640649966,0.5851447962166998,0.00913074337283082,0.009687139862235097
9,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.607368358750364,1.0642741587677071,4.891085752088248,0.5054157022511986,0.5943507706365616,0.009416247066064656,0.009687139862235097
10,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.607368358750364,1.0664094948990455,4.891085752088248,0.5044912531130132,0.5943507706365616,0.009593159577994661,0.009687139862235097
11,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.607368358750364,1.0685834790018074,4.891085752088248,0.5036715320481422,0.5943507706365616,0.009772307686655829,0.009687139862235097
12,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.607368358750364,1.0685834790018074,4.891085752088248,0.502844742183346,0.5943507706365616,0.009772307686655829,0.009687139862235097
13,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.607368358750364,1.0685834790018074,4.891085752088248,0.5020613883359737,0.5943507706365616,0.009772307686655829,0.009687139862235097
14,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.607368358750364,1.0685834790018074,4.891085752088248,0.5013183085250394,0.5943507706365616,0.009772307686655829,0.009687139862235097
15,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.500781324032759,0.6002889382202294,0.009772307686655829,0.009687139862235097
16,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.5001121124902485,0.6002889382202294,0.009772307686655829,0.009687139862235097
17,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49947449033759495,0.6002889382202294,0.009772307686655829,0.009687139862235097
18,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4988667553747731,0.6002889382202294,0.009772307686655829,0.009687139862235097
19,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49828731990411995,0.6002889382202294,0.009772307686655829,0.009687139862235097
20,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4977346982193672,0.6002889382202294,0.009772307686655829,0.009687139862235097
21,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49720749610818904,0.6002889382202294,0.009772307686655829,0.009687139862235097
22,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4967044020174992,0.6002889382202294,0.009772307686655829,0.009687139862235097
23,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4962241795885497,0.6002889382202294,0.009772307686655829,0.009687139862235097
24,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49576566131805244,0.6002889382202294,0.009772307686655829,0.009687139862235097
25,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49532774314317246,0.6002889382202294,0.009772307686655829,0.009687139862235097
26,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4949093797833602,0.6002889382202294,0.009772307686655829,0.009687139862235097
27,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49450958070151185,0.6002889382202294,0.009772307686655829,0.009687139862235097
28,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4941274065716501,0.6002889382202294,0.009772307686655829,0.009687139862235097
29,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4937619661609399,0.6002889382202294,0.009772307686655829,0.009687139862235097
30,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49341241355099114,0.6002889382202294,0.009772307686655829,0.009687139862235097
