step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-high-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.592553123904437,5.9015630795103915,4.669045563794426,0.4935740603958693,0.5423947580282593,1.2596948157879375,0.28769479531594894
1,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.6254200373183325,5.9797822040130875,4.61412591712494,0.49010961360889665,0.5564171321798967,1.2658386208537178,0.3107298823926432
2,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.6254200373183325,5.9797822040130875,4.587436422942323,0.48741298597611105,0.5564171321798967,1.2658386208537178,0.32557712631874736
3,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.6254200373183325,5.9797822040130875,4.554727723814275,0.48358768027590243,0.5564171321798967,1.2658386208537178,0.33442058847260464
4,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,5.9797822040130875,4.544986523221227,0.4809678844655317,0.5625971218834185,1.2658386208537178,0.3351398232613134
5,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,5.9797822040130875,4.519914536576879,0.47844071117054354,0.5625971218834185,1.2658386208537178,0.34365610272263714
6,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,5.9797822040130875,4.495657179033016,0.4753598664768972,0.5625971218834185,1.2658386208537178,0.3505273976039848
7,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.005510013557636,4.486324815116423,0.47382495856891443,0.5625971218834185,1.2809534191858387,0.3497361847269165
8,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.005510013557636,4.473541704364187,0.4717255117370591,0.5625971218834185,1.2809534191858387,0.3527808352987214
9,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.028023831707335,4.473541704364187,0.47125859990300095,0.5625971218834185,1.2858580087600564,0.3527808352987214
10,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.028023831707335,4.473541704364187,0.47004861092638606,0.5625971218834185,1.2858580087600564,0.3527808352987214
