step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-low-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.424518083656905,4.110940344385779,4.909807774665336,0.4698114423164466,0.29064089262231796,2.0983677311493167,0.01212180031559966
1,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.456264775361522,4.01158854674993,4.89677864167486,0.4650195794489151,0.2966124860518507,2.251878026029967,0.012456177917758389
2,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.468694574430092,3.985853833081849,4.87866410468558,0.4619441679131207,0.30056541767584827,2.2665703278289144,0.012520048169075164
3,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.481792716937266,3.884380440577566,4.874018861296147,0.45864300028663835,0.305271933396086,2.3941700069092384,0.01246094128874748
4,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.49367137463068,3.8218614127005726,4.871530533375831,0.45559603696997253,0.307794980219864,2.446221287596698,0.012446962327070646
5,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.7581736298855333,4.864832031285664,0.45271333634016936,0.31020340871650737,2.4967404179701043,0.012220791474960241
6,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.68415974450289,4.864832031285664,0.4497507919864189,0.31020340871650737,2.581596891253517,0.012220791474960241
7,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.864832031285664,0.4471854567040031,0.31020340871650737,2.601355939928248,0.012220791474960241
8,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.864832031285664,0.44649142849528867,0.31020340871650737,2.601355939928248,0.012220791474960241
9,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.8624583641648,0.44605489887444577,0.31020340871650737,2.601355939928248,0.012136899213164052
